Size,Amount(in rupees),location,Floor,Transaction,Furnishing,Bathroom,Balcony
1,42,67,10,2,3,1,2
2,98,67,3,2,2,2,0
2,140,67,10,2,3,2,0
1,25,67,1,2,3,1,1
2,160,67,20,2,3,2,0
1,45,67,2,2,3,1,1
1,16.5,67,4,2,3,1,0
1,60,67,0,2,1,1,0
1,60,67,0,2,1,1,0
3,160,67,3,2,3,3,1
3,140,67,6,2,2,2,0
2,136,67,16,2,2,2,0
2,135,67,8,2,2,2,0
4,425,67,18,2,2,4,1
1,75,67,2,2,1,1,0
2,90,67,10,1,3,2,1
1,37,67,5,1,3,1,2
1,35,67,4,2,3,1,0
2,90,67,20,2,3,2,0
1,35,67,3,2,2,1,1
1,54,67,3,2,2,1,0
2,165,67,15,2,3,2,2
2,85,67,2,2,3,2,0
3,128,67,27,2,2,2,1
1,42,67,5,2,1,1,0
1,24,67,3,2,3,1,1
1,61,67,11,2,3,1,0
3,175,67,8,2,1,3,3
1,47,67,9,1,2,1,1
4,320,67,16,2,3,3,1
2,198,67,14,2,2,2,2
1,83,67,12,2,2,2,1
3,142,67,1,2,2,3,0
1,54,67,2,2,1,2,3
1,26,67,5,2,2,1,3
1,70,67,2,2,2,1,0
2,118,67,16,1,3,2,1
2,35,67,2,2,3,2,3
1,20,67,3,2,3,1,2
2,70,67,2,2,2,2,0
2,37,67,12,2,1,2,2
2,60,67,3,2,3,2,0
2,70,67,2,2,2,2,2
2,110.00000000000001,67,5,2,2,1,1
2,105,67,6,2,3,2,0
1,24,67,1,2,2,1,0
2,78,67,5,2,3,2,1
3,155,67,7,2,2,2,0
1,47,67,2,2,3,1,1
1,12,67,2,2,2,1,0
1,32,67,1,2,3,1,0
1,23,67,7,2,2,1,1
2,100,67,10,2,3,2,3
1,50,67,4,2,3,1,3
2,30,67,6,2,3,2,1
2,70,67,14,2,3,2,2
2,120,67,21,2,2,2,1
2,51,67,5,2,3,2,1
3,155,67,7,2,3,3,2
1,30,67,6,2,3,1,1
2,190,67,14,2,2,2,0
1,40,67,3,2,3,1,0
1,60,67,2,1,2,1,0
2,85,67,3,2,1,2,0
2,43,67,1,2,3,2,1
2,85,67,2,2,3,2,0
3,260,67,7,2,2,3,1
2,155,67,4,2,2,2,2
3,265,67,4,2,2,3,3
1,53,67,5,2,1,2,0
2,60,67,7,2,3,2,1
3,110.00000000000001,67,1,2,3,3,2
1,35,67,5,2,3,1,0
1,32,67,2,2,3,1,0
3,240,67,20,1,3,3,1
3,310,67,10,1,3,3,0
2,78,67,15,2,3,2,3
1,45,67,8,2,3,1,1
3,200,67,9,2,1,3,1
1,50,67,5,2,3,2,0
3,160,67,8,2,3,2,2
1,22,67,4,2,3,1,3
1,79,67,2,2,2,2,1
2,30,67,7,2,3,2,2
1,48,67,8,2,3,1,1
2,75.2,67,3,1,3,2,2
2,132,67,2,2,3,2,1
1,28,67,2,2,3,1,1
1,77,67,15,2,3,2,2
1,100,67,4,2,2,1,1
1,50,67,3,2,1,2,0
1,25,67,3,2,2,1,0
1,53,67,21,2,2,2,0
3,165,67,5,2,2,2,0
2,60,67,3,2,3,2,0
2,119,67,5,2,2,2,1
3,90,67,1,2,1,2,3
1,68,67,0,2,2,2,1
1,50,67,5,1,3,1,1
2,90,67,3,2,2,2,1
5,400,67,4,2,2,4,4
1,48,67,1,2,1,1,1
3,75,67,6,2,2,3,0
1,51,67,1,2,1,1,0
2,68.6,67,0,1,3,2,0
2,99,67,29,2,2,2,0
1,44.3,67,1,2,2,1,3
2,55,67,10,2,3,2,4
1,33,67,3,2,3,1,1
2,165,67,10,2,3,2,1
2,95,67,13,2,2,2,0
3,210,67,5,2,3,3,0
2,97,67,5,2,3,2,1
1,27,67,2,2,3,1,0
2,50,67,2,2,2,2,0
2,50,67,12,2,3,2,4
2,45,67,1,2,3,2,3
1,54,67,2,2,2,1,0
1,50,67,3,2,2,1,2
2,41,67,0,2,2,2,0
2,42.9,67,3,1,3,2,3
3,75,67,7,2,3,2,0
2,100,67,6,2,3,2,1
3,236,67,2,1,3,3,1
1,29,67,5,2,3,1,0
1,25,67,4,2,3,1,0
1,27.5,67,1,2,2,1,0
1,75,67,2,2,1,1,0
3,345,67,20,1,3,3,1
1,48,67,3,2,3,1,0
1,56,67,13,2,3,2,1
1,45.5,67,3,1,3,2,1
3,55,67,3,2,3,2,0
2,160,67,19,2,2,2,3
2,170,67,11,2,2,2,0
1,60,67,4,2,1,2,1
4,490.00000000000006,67,18,2,3,4,1
2,58,67,10,1,3,2,2
2,26,67,0,2,3,2,0
2,100,67,2,2,2,2,2
1,21,67,2,1,3,2,1
3,275,67,16,2,3,3,3
2,165,67,3,1,3,2,1
3,250,67,8,1,3,3,2
1,26,67,6,2,1,1,0
2,65,67,10,2,3,1,0
3,175,67,17,2,2,3,0
2,60,67,5,2,2,1,0
1,29,67,1,2,3,1,2
1,53,67,4,2,3,1,2
3,300,67,11,2,2,3,1
2,132,67,12,2,3,2,1
1,105,67,5,1,3,1,1
1,79,67,4,2,3,1,0
1,60,67,7,2,3,1,0
1,18,67,1,2,2,1,1
3,130,67,10,2,2,3,1
2,106,67,14,2,3,2,1
2,100,67,1,2,1,2,0
2,107,67,15,2,3,2,1
2,171,67,6,1,3,2,2
3,160,67,1,2,2,3,1
1,19,67,2,2,2,1,0
3,229,67,28,1,3,3,3
2,56,67,1,2,1,3,0
2,70,67,6,2,2,2,0
2,41.5,67,3,1,3,1,3
4,125,67,12,2,1,3,2
2,65,67,1,2,2,2,0
2,83,67,12,2,3,2,1
3,72,67,14,2,3,2,0
2,147,67,30,2,2,2,1
1,40,67,4,2,2,1,1
2,112.99999999999999,67,23,2,3,2,1
6,185,67,7,2,3,6,0
